Ocellar corona,absent,present,,,,,,
Supraantennal groove or depression,absent,"present, accommodating scapes",,,,,,
Notch on medial margin of eye,absent,present,,,,,,
Position of toruli relative to eyes,below or level with lower margin of eyes,above lower margin of eyes,,,,,,
Position of toruli relative to clypeus,equal or closer to clypeus than its own diameter,further from clypeus than its own diameter,,,,,,
Subantennal shelf,absent,"present, antennal foramina facing upwards",,,,,,
Inner margin of torulus,not distinctly raised compared to outer margin,"with distinct projection, raised compared to outer margin",area between projections raised as well forming interantennal process,,,,,
Subantennal groove,absent or weakly developed,"present, distinct",,,,,,
Clypeus,not_inflected,inflected,,,,,,
Mandibular foramen,"absent, oral and mandibular foramen continuous",mandibular and oral foramina separated by subgenal sclerotisation,,,,,,
Occipital sulcus and ridge,absent,present,,,,,,
Position  occipital foramen,approx._halfway_between_top_of_head_and_oral_foramen,distance_from_top_of_head_to_occipetal_foramen_half_or_less_than_distance_to_oral_foramen,,,,,,
Position  posterior tentorial pits,adjacent/at level with occipital foramen/condyles,considerably_ventral_to_occipital_foramen,,,,,,
Sclerotization between occipital and oral foramina,"absent, foramina confluent","present, foramina separate",,,,,,
Ventral sclerotization configuration,"at most oblique ventral to tentorial pits, not extending anteriorly",horizontal ventral to pits and extending anteriorly,,,,,,
Postoccipital bridge,absent,bridge connecting insertion points of the ventral profurco-postoccipital muscles ventrally of the tentorial bridge present,,,,,,
Longitudinal sulci on ventral head sclerotization,none,"one median, at least ventrally","two sublateral, not merging ventrally",,,,,
Occipital carina,absent,present,,,,,,
Occipital carina configuration,reaching hypostome ventrally,not reaching hypostome and not continuous medially,continuous ventrally of occipital foramen,,,,,
Dorsal tentorial arm,"absent or reduced, not reaching head capsule","present, in contact with head capsule anteriorly",,,,,,
Shape  tentorial bridge,"broad, not above level of posterior tentorial arms","slender, arched above posterior tentorial arms",,,,,,
Corpotendon on tentorial bridge,absent,present anteriorly on tentorial bridge,,,,,,
Position of labrum,anterior,posterior,,,,,,
Shape of labrum,transverse,trapezoidal,thin and cylindrical,"long, thin and flattened","transverse, planar and weakly sclerotized to membranous",triangular,membranous sac,transverse with narrow medial projection
Labrum,present,absent,,,,,,
Exposure of labrum,exposed,concealed,,,,,,
Distal epipharyngeal wall,not synscleritors with labrum,synscleritors with labrum,,,,,,
Lateral epipharyngeal brush,absent,present,,,,,,
Epipharyngeal lobe,absent,present,,,,,,
Epipharyngeal setae,absent,present,dense medial patch of stout setae,,,,,
Tormae,"distinct apodemes continuous with labrum, not continuous medially","present, continuous medially",absent,,,,,
Sclerotization of labrum,heavily sclerotized,weakly scleritized,membranous,,,,,
Thickness of labrum,inner and outer surfaces separate,flaplike,,,,,,
Labral setation,scattered setae over anterior surface,setae restricted to apical margin,bare,,,,,
Labral apodemes,absent,"present, long and thick","present, short, thin and articulating with head capsule",,,,,
Sitophore,absent,"present, does not extend distally of the functional mouth","present, extends distally of the functional mouth",,,,,
Sitophore sensillae,absent,patch (>4) of lateral sensilla present,1-2 lateral sensilla only,,,,,
Hypopharyngeal lobe,absent,present,,,,,,
Infrabuccal pouch,small and/or with inconspicuous armature,"large, with distinct cuticular teeth developed for grinding pollen",forming a distinct gnathal pouch,,,,,
Hypopharyngeal pectens,absent,minute hairs on hypopharyngeal rods,distinct brushes,,,,,
Left mandible dentition,no teeth,one extra tooth,two extra teeth,four or more distinct teeth,,,,
Dentition of right mandible relative to left,one_less,equal_number,,,,,,
Mola on right mandible,present,absent,,,,,,
Mandibular peg on ventral margin,absent,present,,,,,,
Mandibular rods glands,absent,present,,,,,,
Lateral articulation of mandible,with_distinct_posterolateral_condyle,truncate_connection,medial_condyle,anterolateral_condyle,,,,
Lateral mandibular muscle attachment,hidden,visible_externally,,,,,,
Shape of glossa  alaglossa ,lobate,flat,folded into an inverted U-shape,hoodlike_and_folded_medially,semispherical,absent_or_very_reduced,,
Setation of glossa,scattered_setae,distinct_rows_of_flattened_setae,bare,densely_setose,spinose,,,
Glossal fringe,absent,present,,,,,,
Submarginal setae of glassa,absent,present,,,,,,
Campaniform sensillae,absent,present,,,,,,
Acroglossal button,absent,present,,,,,,
Glossal margin,entire,slightly_emarginate,deeply_incised,,,,,
Paraglossae,"club-shaped, without microtrichia",lobate with setae or flattened scale-like microtrichia in rows,flattened with scale-like microtrichia in transverse rows,distal scale-bearing part reduced,"totally reduced, fused with glossa",,,
Paraglossal basal setation,setose_or_bare,spinose,,,,,,
Number of labial palp segments,0,2,4,,,,,
Rod like sensilla,absent,specialised_sensilla_on_distal_labial_palp_segment_present,"present, situated in invagination with pore opening",,,,,
Subapical sensilla,absent,present,,,,,,
Postmentum,absent,faint_trace,,,,,,
Number of maxillary palp segments,0,2,4,6,,,,
Maxillary palp shape,"thin, not leg-like","thick, leg-like, with a setae-bearing distal part",,,,,,
Sensillum on third maxillary palpomere,absent,present,,,,,,
Third maxillary palpomere,cylindrical,"enlarged, broader than the following palpomere, and triangular",,,,,,
Shape of lacinia,rounded,acuminate,,,,,,
Galea shape,entire,divided_and_broad,divided_and_longitudinally_elongate,absent,,,,
Galea division,with_two_apices,unipartite,,,,,,
Stipes sensillum,absent,single_prominent_sensillum,,,,,,
Pronotum shape anteriorly,protruding,reduced,,,,,,
Pronotum  anteroventral longitudinal carinae,absent,two_parallel_carinae_with_concave_area_inbetween_present_,,,,,,
Pronotum  submedian depressions,absent,pits_corresponding_to_internal_concavities_present,,,,,,
Pronotum  length,long_dorsally_of_transverse_sulcus,short_dorsally_of_transverse_sulcus,,,,,,
Pronotum orientation,pronotum_posteriorly_of_transverse_sulcus_oblique,pronotum_posteriorly_of_transverse_sulcus_vertical,,,,,,
Pronotum  transverse carina,absent,"present, traversing pronotum dorsally of transverse sulcus",,,,,,
Pronotum  anterior surface,"convex or straight, not accommodating head","concave, smooth, delimited by lateral projections, accommodating head",,,,,,
Pronotum  dorsomedially,without_shelf,with_smooth_shelf_accommodating_prophragma,,,,,,
Pronotum  submedian apodemes,absent,small_apodemes_present,,,,,,
Pronotum  anterolateral corners,rounded,with_distinct_notch_accommodating_anterolateral_corner_of_mesoscutum,,,,,,
Pronotum  anterolateral internal carina,absent_or_weakly_developed,distinct_transverse_carina_present_anterolaterally,,,,,,
Pronotum  posterodorsal corner,without_notch,"with notch above anterior spiracle, accommodating tegula",,,,,,
Pronotum  posterolateral margin,with_incurvation_accommodating_anterior_spiracle,straight,with_extended_lobe,,,,,
Pronotum  anterior spiracle,"visible, posterior to posterolateral margin of pronotum",covered_by_posterolateral_margin_of_pronotum,"visible, surrounded by continuous cuticle",,,,,
Pronotum  mesopleural attachment,"movable relative to mesopleuron, or not abutting",rigidly_attached_to_mesopleuron,,,,,,
Pronotum  lateroventral corners,not_projecting_medially,with_medial_inflexions_abutting_mesopleuron,"fused, forming bridge behind procoxae",,,,,
Prepectus,absent,independent_sclerite_present,,,,,,
Prepectus,exposed,concealed,,,,,,
Prepectus  pronotal inflection,absent,present,,,,,,
Prepectus inflection  dorsal extent,not_extending_dorsally_of_anterior_spiracle,extending_dorsally_of_anterior_spiracle,,,,,,
Prepectus inflection  ventral configuration,separate_or_at_most_slightly_abutting,broadly_abutting,fused_together_or_with_prospinasternum,,,,,
Position of occlusor muscle apodeme,midway on posterolateral pronotal margin,ventrally on posterolateral pronotal margin,,,,,,
Position  anterior thoracic spiracle,more_than_one_spiracular_diameter_from_posterodorsal_corner_of_pronotum,at_posterodorsal_corner_of_pronotum,dorsally_between_pronotum_and_mesoscutum,,,,,
Projection ventrad anterior spiracle,absent,narrow projection ventrally of spiracle present,,,,,,
Propleura  cervical prominences,"not retracted, cervical swellings exposed","retracted, swellings concealed",,,,,,
Propleura  position of cervical prominences,at_anterodorsal_corners_of_propleura,ventrally_of_anterodorsal_corners_of_propleura,,,,,,
Propleuron  cervical apodeme,entirely_absent,"short, inconspicuous","well developed, distinct",,,,,
Propleuron  cervical apodeme configuration,separate_from_propleura_posteriorly,curves_laterally_to_fuse_with_propleura_posteriorly,,,,,,
Propleuron  cervical lines,laterocervicalia_and_propleuron_proper_at_most_articulating,"laterocervicalia and propleuron partly fused, cervical line present","laterocervicalia and propleuron completely fused, cervical line absent",,,,,
Propleura  dorsal part,"not inflected, sculpture similar to rest of propleura",inflected_with_smooth_or_shagreened_sculpture,,,,,,
Dorsal margins of propleura,widely separated for most of their length,abutting for at least half their length,,,,,,
Propleuron  propleural arm,absent,present,,,,,,
Configuration of propleural arms,"erect, not abutting profurca posteriorly","horisontal, extending medially posteriorly of profurca",,,,,,
Propleura  lateroventral carina,absent,longitudinal_carina_on_lateroventral_margin_of_propectus_present,,,,,,
Propleura  median margins,widely_separate_for_their_entire_length,"diverging posteriorly, prosternum broadly exposed","abutting for most of their length, prosternum partly concealed",,,,,
Propleura  epicoxal lobes,posterolateral_corner_of_propleuron_not_extended,"extended as epicoxal lobe, covering procoxa proximally",,,,,,
Propleura  posterolateral groove,absent,"distinct groove dorsally on corners, articulating with pronotum",,,,,,
Propleura  prothoracic katepisterna,absent,present,,,,,,
Propleuron  katepisternum configuration,abutting_propleuron_at_articulation_with_procoxa,separate_from_propleuron,,,,,,
Prosternum  anteroventral part,at_most_extending_slightly_anterior_to_posterior_margin_of_propleura,extending_well_anterior_to_posterior_margin_of_propleura,,,,,,
Prosternal spine,absent,median posteriorly directed spine present,,,,,,
Prosternum  laterosternal sclerites,absent,present,,,,,,
Prosternum  subdivision,not_subdivided,transversely_subdivided_dorsally_by_deep_lateral_incisions,,,,,,
Profurca  number of profurcal pits,one,two,,,,,,
Profurca  anterior apodemes,absent_or_weakly_developed,"well developed, continuous with tendons",,,,,,
Profurca  bridge,absent,"present, low","present, high and curving posteriorly",,,,,
Profurca  articulation with propleuron,lateral_profurcal_arm_not_articulating_with_propleuron,lateral_profurcal_arm_articulating_with_propleuron_posterodorsally,,,,,,
Foreleg  procoxa,"broad basally, proximal foramen width at least half maximal width of procoxa","constricted basally, proximal foramen width less than half maximal width",,,,,,
Foreleg  procoxal transverse carina,absent,developed_for_at_least_part_of_coxa,,,,,,
Foreleg  protibial furrow,absent,U-shaped furrow present,,,,,,
Foreleg  calcar,anterior_apical_protibial_spur_unmodified,anterior_apical_protibial_spur_modified_into_calcar_for_antenna_cleaning,,,,,,
Foreleg  posterior apical protibial spur,absent_or_reduced,present,,,,,,
Foreleg  probasitarsal notches,absent,present,,,,,,
Foreleg  probasitarsal combs,absent_or_weakly_developed,"present, well developed",,,,,,
Foreleg  probasitarsal spur,absent,present,,,,,,
Mesonotum  prophragma,absent_or_reduced,well_developed,,,,,,
Mesonotum  prophragma shape,bilobed,not_subdivided_by_slit,,,,,,
Mesonotum  prophragma laterally,"not extended, higher submedially than laterally","extended, higher laterally than submedially",,,,,,
Mesonotum  anterior mesoscutal sulcus,absent,transverse_groove_accommodating_dorsal_margin_of_pronotum_present,,,,,,
Mesonotum  anterior mesoscutal sulcus configuration,at_most_extending_slightly_onto_prophragma_anteromedially,with_distinct_ventral_extension_onto_prophragma_anteromedially,,,,,,
Mesonotum  median mesoscutal sulcus and ridge,well_developed_internally_and_externally,developed_only_externally,absent_or_not_fully_developed_posteriorly,,,,,
Mesonotum  anteroadmedian signum,absent,present,,,,,,
Mesonotum  notauli,well_developed_internally_and_externally,developed_only_externally,"absent, at least posteriorly",,,,,
Mesonotum  notauli configuration,"separate, do not join prior to reaching transscutal fissure",converge_medially_to_join_prior_to_reaching_fissure,"merge into U-shaped sulcus, not reaching fissure",,,,,
Mesonotum  parapside,absent,present,,,,,,
Mesonotum  parascutal carina,absent,area_accommodating_tegula_delimited_by_longitudinal_carina_present,,,,,,
Mesonotum  transscutal articulation,absent,"present, not less sclerotised than adjacent cuticle","present, less sclerotised than adjacent cuticle",,,,,
Mesonotum  transscutal carina,absent,present,,,,,,
Mesonotum  size of dorsal axillar surface,"large, mesoscutellar sulcus U- or V-shaped","small, mesoscutellar sulcus straight medially",,,,,,
Mesonotum  axillar carina,absent,longitudinal_carina_extending_dorsally_from_scutellar_arm_present,,,,,,
Mesonotum  lateral corners of axilla,"rounded, no distinct projection dorsally",axillar_carina_with_distinct_posterior_projection_dorsally,,,,,,
Mesonotum  axillar phragma,absent,present,,,,,,
Mesonotum  scutoscutellar sulcus,different_configuration_than_state_1,consisting_of_one_or_two_wide_depressions_with_small_pits_laterally,,,,,,
Mesonotum  mesoscutellar carina,absent_or_weakly_developed_medially,"present, distinct throughout",,,,,,
Mesonotum  configuration of mesoscutellar carina,reaching transscutal carina/articulation medially,not reaching transscutal carina/articulation,,,,,,
Mesonotum  internal median longitudinal mesoscutellar carina,absent,present,,,,,,
Mesonotum  internal septum,absent,septum_with_small_fenestrum_spanning_at_least_part_of_mesoscutellum_ventrally,,,,,,
Mesonotum  longitudinal subdivision of scutellum,not_subdivided,subdivided_by_submedian_longitudinal_grooves,,,,,,
Mesonotum  frenum,mesoscutellum_not_subdivided,"mesoscutellum transversely subdivided by line, fold, or carina",,,,,,
Mesonotum  mesoscutellum posteriorly,not_as_state_1,medially_with_row_of_sculptured_depressions,,,,,,
Mesonotum  mesoscutellar appendage,absent_or_weakly_developed,projection_separated_from_scutellum_by_distinct_line_present,,,,,,
Mesonotum  mesoscutellar arm configuration,"narrow, erect, slender","broad, low, smooth",,,,,,
Mesonotum  origin of mesoscutellar arms,at_posterolateral_corners_of_mesoscutellum,anterolaterally_on_mesoscutellum,,,,,,
Mesonotum  mesoscutellar arm distally,not_extending,distinctly_extended_laterally,,,,,,
Mesophragma  pseudophragmal lobe s ,absent_or_weakly_developed,"well developed, distinct lobes",,,,,,
Mesophragma  anterior margin position,at_most_displaced_slightly_posterior_to_posterior_margin_of_mesoscutellum,displaced_posteriorly_into_propodeum_for_at_least_the_length_of_the_mesoscutellum,,,,,,
Mesophragma  mesophragmal pockets,"weakly developed, no curved line anterodorsally on mesophragma","well developed, with deeply curved posterior margin",,,,,,
Mesophragma  median longitudinal carina,absent_or_weakly_developed,distinct_carina_extending_ventrally_for_most_of_phragma,,,,,,
Mesophragma  mesolaterophragmal lobes,reduced_or_absent,"present, well developed",,,,,,
Mesophragma  number of mesolaterophragmal lobes,one,two,,,,,,
Mesophragma  mesolaterophragmal apodeme shape,"short, rounded","elongate, slender",,,,,,
Mesophragma  mesopostnotum,exposed,concealed_by_anterior_part_of_metanotum,,,,,,
Mesophragma  lateral attachment of mesopostnotum,"broad, exposed","invaginated, but still developed","reduced, mesopostnotum entirely internal",,,,,
Mesophragma  lateral flanges,absent,distinct_flanges_present_anteromedially,,,,,,
Mesopectus  configuration with mesonotum,"not broadly abutting, tegulum and pronotum adjacent","abutting for considerable distance, tegulum well separated from pronotum",,,,,,
Mesopectus  tegula configuration,exposed,concealed_by_dorsolateral_corner_of_pronotum,,,,,,
Mesopleuron  external part of basalar,not_enlarged,"conspicuously enlarged, extending ventrally of anterior spiracle",,,,,,
Mesopleuron  basalar apodeme,"large, cup-shaped","reduced, tendon-like",,,,,,
Mesopleuron  postspiracular sclerite,absent,present,,,,,,
Mesopleuron  posterior thoracic spiracle configuration,"exposed, in concavity in mesopleural margin","exposed, above mesopleural margin",not_visible_externally,,,,,
Mesopleuron  supramesopleural sclerite,absent,sclerite_between_mesopleuron_and_metapleural_arm_present,,,,,,
Mesopleuron  mesepimeral ridge,absent_or_weakly_developed,distinct_ridge_extending_from_dorsal_margin_of_mesopleuron_to_approx._halfway_to_mesocoxal_articulation,distinct_ridge_extending_from_dorsal_margin_of_mesopleuron_to_mesocoxal_articulation,,,,,
Mesopectus  mesopleural ridge,absent,ridge_extending_between_anterior_margin_of_mesopleuron_and_mesocoxal_articulation,,,,,,
Mesopleuron  mesopleural pit,absent,small_pit_present,,,,,,
Mesopleuron  mesopleural apodeme,absent_or_weakly_developed,apodeme_present,,,,,,
Mesopleuron  apodeme configuration,separate_from_mesepimeral_ridge,continuous_with_mesepimeral_ridge,,,,,,
Mesopectus  mesopleural triangle,at_most_slight_depression_present_dorsally_on_mesopleuron,distinct_triangular_depression_extending_across_dorsal_mesopleuron,,,,,,
Mesoplueron  prospinasternum,separate_sclerite,fused with mesopleuron and/or pronotum,,,,,,
Mesopleuron  prospinasternal apodeme,absent,"present, well developed",,,,,,
Mesopleuron  acetabular epicnemial carina,absent_or_weakly_defined,"distinct, extends below procoxae",,,,,,
Mesopleuron  procoxal concavities,absent_or_weakly_developed,concavities_accommodating_procoxae_present,,,,,,
Mesopleuron  subpleural signum,absent,longitudinal_line_or_crease_present,,,,,,
Mesopectus  pseudosternal sulci,absent_or_not_developed_internally,well_developed_internally_and_externally,,,,,,
Mesopectus  sternaular carina,absent_or_weakly_developed,oblique_internal_carina_on_mesepisternum_present,,,,,,
Mesopleuron  posterior transverse carina,absent,"present, delimiting concave or smooth area just anteriorly of mesocoxal foramina",,,,,,
Mesopleuron  mesocoxal foramina,"widely open dorsally, not surrounded by mesopleural cuticle","foramen constricted, but still with narrow opening dorsally","closed dorsally, surrounded by continuous mesopleural cuticle",,,,,
Mesopleuron  median mesocoxal articulation,absent,"present, on projection",,,,,,
Mesopleuron  medial mesocoxal articulation position,"situated proximally, articulations not elongated","situated distally, on medial surface of mesocoxa",,,,,,
mesofurca  mesofurcal pit,situated_at_level_with_mesocoxal_foramina,situated_anteriorly_of_mesocoxal_foramina,,,,,,
Mesofurca  mesospina and metafurco mesospinal muscle,absent,"present, short, erect","elongate, projecting posteriorly between metafurcal arms",,,,,
Mesofurca  arms proximally,with_at_most_shallow_depressions,with_distinct_concavities_dorsally,,,,,,
Mesofurca  anterior arm,"short, inconspicuous",elongate,,,,,,
Mesofurca  bridge  R99  54 ,absent,present,,,,,,
Mesofurca  anterior projection on bridge,absent,present,,,,,,
Mesofurca  lateral arm,"short, not extending towards mesopleuron","elongate, extending towards mesopleuron",,,,,,
Midleg  mesocoxa,not_subdivided,subdivided,,,,,,
Midleg  proximal part of mesocoxa,well_developed,very_reduced,,,,,,
